package,version,package@version,exploitable,confirmed
madsound,1.0.0,madsound@1.0.0,False,False
sirrobert-wc,0.0.1,sirrobert-wc@0.0.1,True,True
bikeshed-js,1.0.7,bikeshed-js@1.0.7,False,False
webmount,0.0.9,webmount@0.0.9,False,False
@pubbo/child-process,0.2.5,@pubbo/child-process@0.2.5,True,False
24points,1.0.0,24points@1.0.0,False,False
exec-stream,0.1.0,exec-stream@0.1.0,True,False
ear-pipe,0.0.0,ear-pipe@0.0.0,False,False
node-spawn-server,1.0.2,node-spawn-server@1.0.2,True,False
incremental-installer,1.1.0,incremental-installer@1.1.0,True,True
node-cxxfilt,0.0.2,node-cxxfilt@0.0.2,False,False
@atls/webpack-source-map,0.0.2,@atls/webpack-source-map@0.0.2,True,True
@coo-chi/utils,1.0.2,@coo-chi/utils@1.0.2,True,False
ncoder,0.0.3,ncoder@0.0.3,False,False
wlj-utilities,1.0.82,wlj-utilities@1.0.82,True,True
@icya-cli-dev/utils,2.0.0,@icya-cli-dev/utils@2.0.0,True,False
ntpl,0.0.2,ntpl@0.0.2,True,False
mongotop,1.1.0,mongotop@1.1.0,False,False
processes,0.0.1,processes@0.0.1,True,True
ngt-tool,0.0.583,ngt-tool@0.0.583,True,True
python-virtualenv,0.0.4,python-virtualenv@0.0.4,True,True
buildif,1.0.2,buildif@1.0.2,True,False
deport,1.0.1,deport@1.0.1,False,False
scripting-tools,0.19.14,scripting-tools@0.19.14,True,True
fasttext-js,1.0.2,fasttext-js@1.0.2,False,False
@subsquid/squid-gen-utils,1.1.0,@subsquid/squid-gen-utils@1.1.0,True,False
scp,0.0.3,scp@0.0.3,True,False
lodashed,0.1.2,lodashed@0.1.2,True,True
executable-harness,1.0.3,executable-harness@1.0.3,True,False
nfgrep,0.0.1,nfgrep@0.0.1,True,False
expand-each,1.0.1,expand-each@1.0.1,False,False
iscsitarget,0.0.4,iscsitarget@0.0.4,True,True
bash-js-in,1.0.11,bash-js-in@1.0.11,True,False
swagger-codegen-cli-wrapper,1.0.2,swagger-codegen-cli-wrapper@1.0.2,True,False
vscodetool,1.0.7,vscodetool@1.0.7,True,True
thrift-browserify,1.0.0-dev.2014.12.2,thrift-browserify@1.0.0-dev.2014.12.2,True,False
third-party-resources-checker,1.0.6,third-party-resources-checker@1.0.6,False,False
origami-js-function-helpers,0.3.2,origami-js-function-helpers@0.3.2,True,False
nimstall,1.0.4,nimstall@1.0.4,False,False
